

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1], [1, -1, 1, -1], [1, 1, -1, -1], [1, -1, -1, 1]]        
------------------------------------------------------------------------------------


27/10/2024 10:10:51 ||| RECEIVER-1   ||  RECEIVES DATA FROM SENDER-1
27/10/2024 10:10:51 ||| RECEIVER-2   ||  RECEIVES DATA FROM SENDER-2
27/10/2024 10:10:51 ||| RECEIVER-3   ||  RECEIVES DATA FROM SENDER-3
27/10/2024 10:10:51 ||| RECEIVER-4   ||  RECEIVES DATA FROM SENDER-4
27/10/2024 10:10:51 ||| SENDER-1     ||  STARTS SENDING TO RECEIVER-1
27/10/2024 10:10:51 ||| SENDER-2     ||  STARTS SENDING TO RECEIVER-2
27/10/2024 10:10:51 ||| SENDER-4     ||  STARTS SENDING TO RECEIVER-4
27/10/2024 10:10:51 ||| SENDER-3     ||  STARTS SENDING TO RECEIVER-3
27/10/2024 10:10:51 ||| SENDER-3     ||  DATA BIT SEND -1
27/10/2024 10:10:51 ||| SENDER-4     ||  DATA BIT SEND -1
27/10/2024 10:10:51 ||| SENDER-1     ||  DATA BIT SEND -1
27/10/2024 10:10:51 ||| SENDER-2     ||  DATA BIT SEND -1
27/10/2024 10:10:51 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/10/2024 10:10:51 ||| CHANNEL...   ||  [-1, 1, -1, 1]
27/10/2024 10:10:51 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/10/2024 10:10:51 ||| CHANNEL...   ||  [-1, -1, 1, 1]
27/10/2024 10:10:51 ||| RECEIVER-2   ||  BIT RECEIVED : 0
27/10/2024 10:10:51 ||| RECEIVER-1   ||  BIT RECEIVED : 0
27/10/2024 10:10:51 ||| RECEIVER-4   ||  BIT RECEIVED : 0
27/10/2024 10:10:51 ||| RECEIVER-3   ||  BIT RECEIVED : 0
27/10/2024 10:10:52 ||| SENDER-2     ||  DATA BIT SEND 1
27/10/2024 10:10:52 ||| SENDER-4     ||  DATA BIT SEND 1
27/10/2024 10:10:52 ||| SENDER-3     ||  DATA BIT SEND 1
27/10/2024 10:10:52 ||| CHANNEL...   ||  [1, 1, -1, -1]
27/10/2024 10:10:52 ||| SENDER-1     ||  DATA BIT SEND 1
27/10/2024 10:10:52 ||| CHANNEL...   ||  [1, -1, -1, 1]
27/10/2024 10:10:52 ||| CHANNEL...   ||  [1, -1, 1, -1]
27/10/2024 10:10:52 ||| CHANNEL...   ||  [1, 1, 1, 1]
27/10/2024 10:10:52 ||| RECEIVER-1   ||  BIT RECEIVED : 1
27/10/2024 10:10:52 ||| RECEIVER-4   ||  BIT RECEIVED : 1
27/10/2024 10:10:52 ||| RECEIVER-3   ||  BIT RECEIVED : 1
27/10/2024 10:10:52 ||| RECEIVER-2   ||  BIT RECEIVED : 1
27/10/2024 10:10:53 ||| SENDER-4     ||  DATA BIT SEND -1
27/10/2024 10:10:53 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/10/2024 10:10:53 ||| SENDER-3     ||  DATA BIT SEND -1
27/10/2024 10:10:53 ||| SENDER-1     ||  DATA BIT SEND -1
27/10/2024 10:10:53 ||| SENDER-2     ||  DATA BIT SEND -1
27/10/2024 10:10:53 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/10/2024 10:10:53 ||| CHANNEL...   ||  [-1, 1, -1, 1]
27/10/2024 10:10:53 ||| CHANNEL...   ||  [-1, -1, 1, 1]
27/10/2024 10:10:53 ||| RECEIVER-1   ||  BIT RECEIVED : 0
27/10/2024 10:10:53 ||| RECEIVER-4   ||  BIT RECEIVED : 0
27/10/2024 10:10:53 ||| RECEIVER-3   ||  BIT RECEIVED : 0
27/10/2024 10:10:53 ||| RECEIVER-2   ||  BIT RECEIVED : 0
27/10/2024 10:10:53 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/10/2024 10:10:53 ||| SENDER-1     ||  DATA BIT SEND -1
27/10/2024 10:10:53 ||| SENDER-4     ||  DATA BIT SEND -1
27/10/2024 10:10:53 ||| SENDER-2     ||  DATA BIT SEND -1
27/10/2024 10:10:53 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/10/2024 10:10:53 ||| SENDER-3     ||  DATA BIT SEND -1
27/10/2024 10:10:53 ||| CHANNEL...   ||  [-1, 1, -1, 1]
27/10/2024 10:10:53 ||| CHANNEL...   ||  [-1, -1, 1, 1]
27/10/2024 10:10:53 ||| RECEIVER-1   ||  BIT RECEIVED : 0
27/10/2024 10:10:53 ||| RECEIVER-2   ||  BIT RECEIVED : 0
27/10/2024 10:10:53 ||| RECEIVER-3   ||  BIT RECEIVED : 0
27/10/2024 10:10:53 ||| RECEIVER-4   ||  BIT RECEIVED : 0
27/10/2024 10:10:54 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/10/2024 10:10:54 ||| SENDER-1     ||  DATA BIT SEND -1
27/10/2024 10:10:54 ||| SENDER-2     ||  DATA BIT SEND -1
27/10/2024 10:10:54 ||| SENDER-4     ||  DATA BIT SEND -1
27/10/2024 10:10:54 ||| SENDER-3     ||  DATA BIT SEND -1
27/10/2024 10:10:54 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/10/2024 10:10:54 ||| CHANNEL...   ||  [-1, 1, -1, 1]
27/10/2024 10:10:54 ||| CHANNEL...   ||  [-1, -1, 1, 1]
27/10/2024 10:10:54 ||| RECEIVER-2   ||  BIT RECEIVED : 0
27/10/2024 10:10:54 ||| RECEIVER-3   ||  BIT RECEIVED : 0
27/10/2024 10:10:54 ||| RECEIVER-1   ||  BIT RECEIVED : 0
27/10/2024 10:10:54 ||| RECEIVER-4   ||  BIT RECEIVED : 0
27/10/2024 10:10:55 ||| SENDER-2     ||  DATA BIT SEND -1
27/10/2024 10:10:55 ||| CHANNEL...   ||  [-1, 1, -1, 1]
27/10/2024 10:10:55 ||| SENDER-3     ||  DATA BIT SEND -1
27/10/2024 10:10:55 ||| CHANNEL...   ||  [-1, -1, 1, 1]
27/10/2024 10:10:55 ||| SENDER-1     ||  DATA BIT SEND -1
27/10/2024 10:10:55 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/10/2024 10:10:55 ||| SENDER-4     ||  DATA BIT SEND -1
27/10/2024 10:10:55 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/10/2024 10:10:55 ||| RECEIVER-1   ||  BIT RECEIVED : 0
27/10/2024 10:10:55 ||| RECEIVER-2   ||  BIT RECEIVED : 0
27/10/2024 10:10:55 ||| RECEIVER-4   ||  BIT RECEIVED : 0
27/10/2024 10:10:55 ||| RECEIVER-3   ||  BIT RECEIVED : 0
27/10/2024 10:10:55 ||| SENDER-3     ||  DATA BIT SEND 1
27/10/2024 10:10:55 ||| CHANNEL...   ||  [1, 1, -1, -1]
27/10/2024 10:10:55 ||| SENDER-2     ||  DATA BIT SEND 1
27/10/2024 10:10:55 ||| CHANNEL...   ||  [1, -1, 1, -1]
27/10/2024 10:10:55 ||| SENDER-1     ||  DATA BIT SEND 1
27/10/2024 10:10:55 ||| CHANNEL...   ||  [1, 1, 1, 1]
27/10/2024 10:10:55 ||| SENDER-4     ||  DATA BIT SEND 1
27/10/2024 10:10:55 ||| CHANNEL...   ||  [1, -1, -1, 1]
27/10/2024 10:10:55 ||| RECEIVER-2   ||  BIT RECEIVED : 1
27/10/2024 10:10:55 ||| RECEIVER-1   ||  BIT RECEIVED : 1
27/10/2024 10:10:55 ||| RECEIVER-3   ||  BIT RECEIVED : 1
27/10/2024 10:10:55 ||| RECEIVER-4   ||  BIT RECEIVED : 1
27/10/2024 10:10:56 ||| SENDER-3     ||  DATA BIT SEND 1
27/10/2024 10:10:56 ||| CHANNEL...   ||  [1, 1, -1, -1]
27/10/2024 10:10:56 ||| SENDER-1     ||  DATA BIT SEND 1
27/10/2024 10:10:56 ||| SENDER-2     ||  DATA BIT SEND 1
27/10/2024 10:10:56 ||| CHANNEL...   ||  [1, 1, 1, 1]
27/10/2024 10:10:56 ||| CHANNEL...   ||  [1, -1, 1, -1]
27/10/2024 10:10:56 ||| SENDER-4     ||  DATA BIT SEND 1
27/10/2024 10:10:56 ||| CHANNEL...   ||  [1, -1, -1, 1]
27/10/2024 10:10:56 ||| RECEIVER-4   ||  BIT RECEIVED : 1
27/10/2024 10:10:56 ||| RECEIVER-2   ||  BIT RECEIVED : 1
27/10/2024 10:10:56 ||| RECEIVER-3   ||  BIT RECEIVED : 1
27/10/2024 10:10:56 ||| RECEIVER-1   ||  BIT RECEIVED : 1

27/10/2024 10:10:56 ||| DATA : [0, 1, 0, 0, 0, 0, 1, 1]

27/10/2024 10:10:56 ||| DATA : [0, 1, 0, 0, 0, 0, 1, 1]

27/10/2024 10:10:56 ||| CHAR RECEIVED : C


27/10/2024 10:10:56 ||| DATA : [0, 1, 0, 0, 0, 0, 1, 1]

27/10/2024 10:10:56 ||| CHAR RECEIVED : C


27/10/2024 10:10:56 ||| DATA : [0, 1, 0, 0, 0, 0, 1, 1]

27/10/2024 10:10:56 ||| CHAR RECEIVED : C


27/10/2024 10:10:56 ||| CHAR RECEIVED : C

27/10/2024 10:10:57 ||| SENDER-3     ||  DATA BIT SEND -1
27/10/2024 10:10:57 ||| CHANNEL...   ||  [-1, -1, 1, 1]
27/10/2024 10:10:57 ||| SENDER-4     ||  DATA BIT SEND -1
27/10/2024 10:10:57 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/10/2024 10:10:57 ||| SENDER-2     ||  DATA BIT SEND -1
